ip_address,port,protocol,username,password,country,tags
192.168.1.1,8080,http,,,US,premium
192.168.1.2,3128,https,,,US,test
10.0.0.1,1080,socks5,user,pass,CN,premium
10.0.0.2,8080,http,,,CN,
172.16.0.1,3128,https,,,JP,premium
172.16.0.2,1080,socks4,,,JP,test
203.0.113.1,8080,http,proxy_user,proxy_pass,KR,premium
203.0.113.2,3128,https,,,KR,
198.51.100.1,1080,socks5,,,DE,test
198.51.100.2,8080,http,,,DE,premium
185.199.108.1,3128,https,,,FR,
185.199.108.2,1080,socks4,,,FR,test
151.101.1.1,8080,http,,,GB,premium
151.101.1.2,3128,https,,,GB,
104.16.132.1,1080,socks5,,,CA,test
104.16.132.2,8080,http,,,CA,premium
13.107.42.1,3128,https,,,AU,
13.107.42.2,1080,socks4,,,AU,test
8.8.8.1,8080,http,,,US,premium
8.8.8.2,3128,https,,,US,
1.1.1.1,1080,socks5,,,US,test
1.1.1.2,8080,http,,,US,premium
208.67.222.1,3128,https,,,US,
208.67.222.2,1080,socks4,,,US,test
9.9.9.1,8080,http,,,US,premium
9.9.9.2,3128,https,,,US,
76.76.19.1,1080,socks5,,,US,test
76.76.19.2,8080,http,,,US,premium
64.6.64.1,3128,https,,,US,
64.6.64.2,1080,socks4,,,US,test
77.88.8.1,8080,http,,,RU,premium
77.88.8.2,3128,https,,,RU,
114.114.114.1,1080,socks5,,,CN,test
114.114.114.2,8080,http,,,CN,premium
223.5.5.1,3128,https,,,CN,
223.5.5.2,1080,socks4,,,CN,test
180.76.76.1,8080,http,,,CN,premium
180.76.76.2,3128,https,,,CN,
119.29.29.1,1080,socks5,,,CN,test
119.29.29.2,8080,http,,,CN,premium
182.254.116.1,3128,https,,,CN,
182.254.116.2,1080,socks4,,,CN,test
101.226.4.1,8080,http,,,CN,premium
101.226.4.2,3128,https,,,CN,
123.125.114.1,1080,socks5,,,CN,test
123.125.114.2,8080,http,,,CN,premium
140.207.198.1,3128,https,,,CN,
140.207.198.2,1080,socks4,,,CN,test
202.96.128.1,8080,http,,,CN,premium
202.96.128.2,3128,https,,,CN,
202.96.134.1,1080,socks5,,,CN,test
202.96.134.2,8080,http,,,CN,premium
202.96.209.1,3128,https,,,CN,
202.96.209.2,1080,socks4,,,CN,test
61.139.2.1,8080,http,,,CN,premium
61.139.2.2,3128,https,,,CN,
218.85.157.1,1080,socks5,,,CN,test
218.85.157.2,8080,http,,,CN,premium
221.179.155.1,3128,https,,,CN,
221.179.155.2,1080,socks4,,,CN,test
202.102.227.1,8080,http,,,CN,premium
202.102.227.2,3128,https,,,CN,
202.102.128.1,1080,socks5,,,CN,test
202.102.128.2,8080,http,,,CN,premium
202.102.152.1,3128,https,,,CN,
202.102.152.2,1080,socks4,,,CN,test
202.102.224.1,8080,http,,,CN,premium
202.102.224.2,3128,https,,,CN,
202.102.199.1,1080,socks5,,,CN,test
202.102.199.2,8080,http,,,CN,premium
202.102.110.1,3128,https,,,CN,
202.102.110.2,1080,socks4,,,CN,test
202.102.213.1,8080,http,,,CN,premium
202.102.213.2,3128,https,,,CN,
202.102.192.1,1080,socks5,,,CN,test
202.102.192.2,8080,http,,,CN,premium
202.102.134.1,3128,https,,,CN,
202.102.134.2,1080,socks4,,,CN,test
202.102.154.1,8080,http,,,CN,premium
202.102.154.2,3128,https,,,CN,
202.102.212.1,1080,socks5,,,CN,test
202.102.212.2,8080,http,,,CN,premium
202.102.176.1,3128,https,,,CN,
202.102.176.2,1080,socks4,,,CN,test
202.102.146.1,8080,http,,,CN,premium
202.102.146.2,3128,https,,,CN,
202.102.133.1,1080,socks5,,,CN,test
202.102.133.2,8080,http,,,CN,premium
202.102.158.1,3128,https,,,CN,
202.102.158.2,1080,socks4,,,CN,test
